Project Code,Title,Commitment in U.A,Country,Starting Date,Status,Source of Financing,Sector,Sovereign
P-NG-I00-002,NIGERIA - Ekiti Knowledge Zone Project,"60,315,904.55",Nigeria,14 Nov 2023,Approved,African Development Bank,Social,Sovereign
P-LY-AAB-001,Libya -  Food security and nutrition strategy,"150,000.00",Libyan Arab Jamahiriya,10 Nov 2023,Approved,Middle Income Countries Fund,Agriculture and Rural Development,Sovereign
P-MR-FF0-002,Mauritania – Desert To Power : RIMDIR1 – Green Mini-Grid Electrication Project,"11,819,255.67",Mauritania,02 Nov 2023,Approved,Sustainable Energy Fund for Africa,Power,Sovereign
P-SS-I00-005,SOUTH SUDAN - Support to Technical and Vocational Education and training (TVET) for Value Chain Development Bank,"7,000,000.00",South Sudan,02 Nov 2023,Approved,African Development Fund,Social,Sovereign
P-ZW-KF0-015,Zimbabwe - Institutional support project for state enterprises and parastals reform (ISPSEPAR),"4,000,000.00",Zimbabwe,31 Oct 2023,Approved,African Development Fund,Multi-Sector,Sovereign
P-NA-DZ0-002,Namibia - Transport Infrastructure Improvement Project -  Phase II,"148,575,961.53",Namibia,31 Oct 2023,Approved,African Development Bank,Transport,Sovereign
P-GH-K00-018,Ghana - Fiscal consolidation and economic recovery program (FISCERP),"78,019,000.00",Ghana,31 Oct 2023,Approved,African Development Fund,Multi-Sector,Sovereign
P-CM-DB0-022,Cameroon - Territorial Development and Private Sector promotion Project in the Far North Region,"166,429,589.81",Cameroon,25 Oct 2023,Approved,African Development Bank,Transport,Sovereign
P-ZA-K00-006,SOUTH AFRICA - Energy Governance and Climate Resilience Programme,"226,184,642.06",South Africa,25 Oct 2023,Approved,African Development Bank,Multi-Sector,Sovereign
P-TZ-A00-016,Tanzania - Food Systems Supply Services in Rural Tanzania (F3SRT) -Baridi Sokoni,"1,902,384.83","Tanzania, United Republic of",19 Oct 2023,Approved,Global Agriculture and Food Security Program,Agriculture and Rural Development,Sovereign
P-SN-KZ0-007,Senegal - Project to support the introduction of a new base year in Senegal,"477,273.00",Senegal,18 Oct 2023,Approved,Middle Income Countries Fund,Multi-Sector,Sovereign
